OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
1,50.00422,-5.65752,18000,138000,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.3,0.1,0.1,0.5,0.2,0.4,0.9,0.7,1.5,3.8,349874958.76709,74820.6523631543
2,50.00927,-5.49021,18000,150000,0,0,0,0,0,0.2,0,0.1,0.2,0,0.2,0.4,0.1,0.2,0.6,0.3,0.6,1.4,1.3,2,5.2,350058340.156738,74840.6514105512
3,50.01438,-5.32336,18000,162000,0,0,0,0,0,0.3,0,0.1,0.2,0.1,0.2,0.4,0.1,0.3,0.6,0.4,0.6,1.5,1.8,2.7,5.8,348123010.667725,74633.3657535459
4,50.01916,-5.1563,18000,174000,0,0,0,0,0.1,0.4,0,0.1,0.4,0.1,0.2,0.6,0.1,0.3,0.7,0.3,0.7,2,1.7,2.9,7.2,348225317.440186,74643.2804296614
5,50.02333,-4.98858,18000,186000,0,0,0,0,0,0.3,0,0.1,0.3,0,0.1,0.6,0.1,0.2,0.5,0.3,0.6,1.8,1.5,2.5,6.5,350455028.663086,74882.4222961687
6,50.11212,-5.66606,30000,138000,0,0,0,0,0,0.1,0,0,0.2,0,0.1,0.3,0.1,0.2,0.5,0.2,0.5,1,1,1.8,4.5,349416828.40918,74770.8738571417
7,50.1173,-5.49855,30000,150000,0,0,0,0,0,0.2,0,0.1,0.2,0.1,0.3,0.4,0.2,0.3,0.7,0.3,0.7,1.9,2,2.6,6.6,349545740.612305,74784.665272166
8,50.12223,-5.33099,30000,162000,0,0,0,0,0.2,0.4,0.1,0.2,0.4,0.1,0.4,0.7,0.2,0.4,1,0.6,1,2.4,2.4,3.2,7,349666888.625244,74797.623817957
9,50.12692,-5.16339,30000,174000,0,0,0,0,0.2,0.4,0.1,0.2,0.5,0.1,0.3,0.8,0.4,0.6,0.9,0.7,1.1,2.7,2.6,3.7,9.1,349782950.641846,74810.0357116607
10,50.13126,-4.99555,30000,186000,0,0,0,0,0.1,0.4,0.1,0.2,0.4,0.1,0.2,0.7,0.3,0.5,1,0.7,1.1,2.8,2.5,3.5,9,351026874.62915,74943.1382442366
